koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,is_exoplanet
1,0,0,0,0.436282594,170.702041,1.269,1.3988,536.4,83.25,5187.0,170399.16,218.3,8491.0,3.853,2.622,0
1,0,0,0,1.000840564,121.293771,1.165,1.3292,2714.4,80.25,3367.0,30248.83,73.2,6287.0,3.558,3.177,0
0,0,0,0,4.72674037,134.926396,0.657,2.9267,273.1,1.56,1028.0,264.08,287.8,5648.0,4.472,0.894,1
0,0,0,0,10.854095934,138.608031,0.422,3.7768,1034.4,2.99,765.0,80.88,252.8,5465.0,4.449,0.925,1
0,0,0,0,3.696121272,134.5014,0.016,2.463,383.4,1.78,1095.0,340.33,130.0,5465.0,4.449,0.925,1
0,0,0,0,77.6114427,164.7292,0.094,7.1786,814.5,2.59,397.0,5.87,100.5,5465.0,4.449,0.925,1
0,0,0,0,6.09855603,135.92906,0.21,2.9815,84.4,0.84,927.0,174.3,24.8,5465.0,4.449,0.925,1
0,0,0,0,19.5776073,135.2032,0.049,3.382,98.1,0.9,628.0,36.82,17.2,5465.0,4.449,0.925,1
1,0,0,0,0.837491225,131.574858,0.022,1.796,190.4,1.43,1980.0,3630.32,189.5,5676.0,4.347,1.044,1
0,0,0,0,45.29422297,138.678725,0.025,6.83,477.1,2.26,524.0,17.75,134.8,5676.0,4.347,1.044,1
1,0,0,0,5.188671659,125.879388,0.884,5.0534,548.9,5.2,2118.0,4750.81,331.6,9523.0,4.205,1.941,0
0,0,0,0,105.8817667,156.97935,0.539,18.044,1556.3,10.16,595.0,29.64,301.8,5903.0,3.757,2.499,1
0,1,0,0,77.4794704,154.70734,0.019,10.1151,1237.0,10.33,778.0,86.59,72.6,6711.0,3.73,2.909,0
0,1,0,0,9.250572762,135.407531,1.234,3.6373,1039.5,96.08,1966.0,3530.57,351.4,8133.0,3.715,3.294,0
1,0,0,0,23.8761144,143.07006,0.014,9.3113,1611.7,10.45,1481.0,1135.6,225.5,9974.0,4.048,2.533,0
0,0,0,0,16.145671932,134.754877,0.75,3.7236,941.1,2.48,546.0,20.98,242.7,4900.0,4.602,0.741,1
0,0,0,0,10.31174786,134.07991,0.747,3.1818,275.9,1.34,634.0,38.13,81.7,4900.0,4.602,0.741,1
0,0,0,0,27.4536146,145.02866,0.765,3.747,136.4,0.95,457.0,10.34,27.5,4900.0,4.602,0.741,1
0,0,0,0,7.07136119,139.98763,0.658,2.757,65.7,0.63,719.0,63.11,22.4,4900.0,4.602,0.741,1
